Date,Temperature,Humidity,Precipitation,Wind Speed
2024-01-01,32,65,0.1,12
2024-01-02,28,70,0.0,8
2024-01-03,35,55,0.0,15
2024-01-04,30,75,0.5,10
2024-01-05,25,80,0.3,18
2024-01-06,33,60,0.0,9
2024-01-07,31,68,0.2,11
2024-01-08,29,72,0.1,14
2024-01-09,34,58,0.0,16
2024-01-10,27,82,0.4,13
2024-01-11,30,70,0.2,12
2024-01-12,32,65,0.0,10
2024-01-13,28,75,0.3,15
2024-01-14,33,62,0.1,11
2024-01-15,31,69,0.0,14
2024-01-16,29,78,0.4,17
2024-01-17,34,60,0.0,13
2024-01-18,26,85,0.5,12
2024-01-19,32,67,0.1,10
2024-01-20,30,73,0.2,16